ID;zoneId;system;name;num_vehicles;x_coordinate;y_coordinate
2575;40013;Stadtmobil;0;6;8,33591938;49,0352327
2798;40024;Stadtmobil;0;1;8,3233881;49,00506744
2799;40026;Stadtmobil;0;2;8,33194116;49,00501802
2800;40034;Stadtmobil;0;2;8,341972484;48,99825757
2602;40038;Stadtmobil;0;3;8,365466;48,98339
2690;40044;Stadtmobil;0;8;8,380358219;49,00633193
2595;40054;Stadtmobil;0;3;8,375527;49,03048
2583;40056;Stadtmobil;0;2;8,38606596;49,05126711
2581;40057;Stadtmobil;0;5;8,378309;49,04674
2589;40060;Stadtmobil;0;12;8,387868;49,03193
2594;40062;Stadtmobil;0;0;8,385047;49,023199
2691;40064;Stadtmobil;0;1;8,387331963;49,01446468
2666;40069;Stadtmobil;0;15;8,444028;49,03396
2674;40071;Stadtmobil;0;1;8,447895;49,029135
2672;40072;Stadtmobil;0;7;8,446750434;49,02530455
2826;40074;Stadtmobil;0;6;8,453738;49,02743
2828;40075;Stadtmobil;0;2;8,454386646;49,03266378
2829;40076;Stadtmobil;0;1;8,455662938;49,03593451
2804;40081;Stadtmobil;0;1;8,472722;48,9998
2809;40085;Stadtmobil;0;1;8,4542799;48,9877274
2806;40087;Stadtmobil;0;10;8,458625;48,99436
2682;40089;Stadtmobil;0;2;8,397556;49,07523
2693;40091;Stadtmobil;0;2;8,402330875;49,08574232
2704;40092;Stadtmobil;0;2;8,400099278;49,09677289
2711;40100;Stadtmobil;0;1;8,416085243;49,12972355
2743;40103;Stadtmobil;0;2;8,460760117;49,04702458
2742;40104;Stadtmobil;0;1;8,466773843;49,05739829
2741;40108;Stadtmobil;0;0;8,467532908;49,07305656
2744;40113;Stadtmobil;0;1;8,504947112;49,11297673
2734;40118;Stadtmobil;0;1;8,294339;48,95909
2735;40119;Stadtmobil;0;1;8,302167;48,966116
2736;40120;Stadtmobil;0;1;8,305127;48,96808
2733;40124;Stadtmobil;0;1;8,317383;48,97886
2624;40125;Stadtmobil;0;2;8,444117;49,01659
2631;40126;Stadtmobil;0;2;8,442077;49,014304
2632;40134;Stadtmobil;0;3;8,406107426;48,96617417
2762;40136;Stadtmobil;0;4;8,399434;48,94587
2766;40137;Stadtmobil;0;1;8,406209529;48,94161004
2761;40138;Stadtmobil;0;3;8,408038;48,93871
2763;40138;Stadtmobil;0;8;8,409594;48,93956
2768;40138;Stadtmobil;0;1;8,41056207;48,93866144
2801;40140;Stadtmobil;0;4;8,461551;49,00143
2619;40143;Stadtmobil;0;16;8,431427479;49,00592607
2606;40144;Stadtmobil;0;3;8,424284;49,00718
2612;40144;Stadtmobil;0;4;8,423874;49,00864
2786;40156;Stadtmobil;0;3;8,503332138;48,91572875
2561;40163;Stadtmobil;0;8;8,410345316;49,00844206
2831;40163;Stadtmobil;0;10;8,409889;49,00885
2833;40163;Stadtmobil;0;12;8,407952;49,0088
2834;40164;Stadtmobil;0;13;8,405632;49,00822
2569;40165;Stadtmobil;0;4;8,400885186;49,01064857
2568;40166;Stadtmobil;0;5;8,395131826;49,01070811
2689;40167;Stadtmobil;0;2;8,382868;49,01145
2681;40168;Stadtmobil;0;10;8,376903;49,01116
2686;40168;Stadtmobil;0;3;8,375135;49,01162
2679;40169;Stadtmobil;0;4;8,368873;49,01211
2579;40170;Stadtmobil;0;9;8,365552425;49,01222695
2684;40173;Stadtmobil;0;8;8,367679;49,00568
2695;40173;Stadtmobil;0;12;8,368148804;49,0049126
2652;40177;Stadtmobil;0;9;8,387479;49,00481
2657;40178;Stadtmobil;0;4;8,387629;49,00312
2656;40181;Stadtmobil;0;6;8,393983;48,9965
2663;40182;Stadtmobil;0;4;8,395614624;48,99488237
2788;40182;Stadtmobil;0;7;8,394206;48,99347
2651;40184;Stadtmobil;0;12;8,390057;48,99523
2789;40184;Stadtmobil;0;1;8,391441107;48,99412092
2787;40185;Stadtmobil;0;7;8,385977;48,99402
2655;40186;Stadtmobil;0;3;8,387975;48,9987
2642;40193;Stadtmobil;0;26;8,40487;49,00036
2647;40194;Stadtmobil;0;3;8,408785;48,99999
2649;40194;Stadtmobil;0;5;8,410388231;49,00037285
